loan_id,severity,code,field,message,value
37216892,ERROR,DEFAULT,payments,Payment expired 112 days,payment date: 2023-09-20 00:00:00 -- repayment date:2023-05-31 00:00:00
37216892,ERROR,DEFAULT,payments,Payment expired 112 days,payment date: 2023-09-20 00:00:00 -- repayment date:2023-05-31 00:00:00
37216892,ERROR,DEFAULT,payments,Payment expired 142 days,payment date: 2023-10-20 00:00:00 -- repayment date:2023-05-31 00:00:00
37216892,ERROR,DEFAULT,payments,Payment expired 142 days,payment date: 2023-10-20 00:00:00 -- repayment date:2023-05-31 00:00:00
37216892,ERROR,DEFAULT,payments,Payment expired 173 days,payment date: 2023-11-20 00:00:00 -- repayment date:2023-05-31 00:00:00
37216892,ERROR,DEFAULT,payments,Payment expired 173 days,payment date: 2023-11-20 00:00:00 -- repayment date:2023-05-31 00:00:00
37216892,ERROR,DEFAULT,payments,Payment expired 203 days,payment date: 2023-12-20 00:00:00 -- repayment date:2023-05-31 00:00:00
37216892,ERROR,DEFAULT,payments,Payment expired 203 days,payment date: 2023-12-20 00:00:00 -- repayment date:2023-05-31 00:00:00
37216892,ERROR,DEFAULT,payments,Payment expired 234 days,payment date: 2024-01-20 00:00:00 -- repayment date:2023-05-31 00:00:00
37216892,ERROR,DEFAULT,payments,Payment expired 234 days,payment date: 2024-01-20 00:00:00 -- repayment date:2023-05-31 00:00:00
37216892,ERROR,DEFAULT,payments,Payment expired 265 days,payment date: 2024-02-20 00:00:00 -- repayment date:2023-05-31 00:00:00
37216892,ERROR,DEFAULT,payments,Payment expired 265 days,payment date: 2024-02-20 00:00:00 -- repayment date:2023-05-31 00:00:00
37216892,ERROR,DEFAULT,payments,Payment expired 294 days,payment date: 2024-03-20 00:00:00 -- repayment date:2023-05-31 00:00:00
37216892,ERROR,DEFAULT,payments,Payment expired 294 days,payment date: 2024-03-20 00:00:00 -- repayment date:2023-05-31 00:00:00
37216892,ERROR,DEFAULT,payments,Payment expired 325 days,payment date: 2024-04-20 00:00:00 -- repayment date:2023-05-31 00:00:00
37216892,ERROR,DEFAULT,payments,Payment expired 325 days,payment date: 2024-04-20 00:00:00 -- repayment date:2023-05-31 00:00:00
37216892,ERROR,DEFAULT,payments,Payment expired 355 days,payment date: 2024-05-20 00:00:00 -- repayment date:2023-05-31 00:00:00
37216892,ERROR,DEFAULT,payments,Payment expired 355 days,payment date: 2024-05-20 00:00:00 -- repayment date:2023-05-31 00:00:00
37216892,ERROR,DEFAULT,payments,Payment expired 386 days,payment date: 2024-06-20 00:00:00 -- repayment date:2023-05-31 00:00:00
37216892,ERROR,DEFAULT,payments,Payment expired 386 days,payment date: 2024-06-20 00:00:00 -- repayment date:2023-05-31 00:00:00
37216892,ERROR,DEFAULT,payments,Payment expired 416 days,payment date: 2024-07-20 00:00:00 -- repayment date:2023-05-31 00:00:00
37216892,ERROR,DEFAULT,payments,Payment expired 416 days,payment date: 2024-07-20 00:00:00 -- repayment date:2023-05-31 00:00:00
37216892,ERROR,DEFAULT,payments,Payment expired 447 days,payment date: 2024-08-20 00:00:00 -- repayment date:2023-05-31 00:00:00
37216892,ERROR,DEFAULT,payments,Payment expired 447 days,payment date: 2024-08-20 00:00:00 -- repayment date:2023-05-31 00:00:00
37216892,ERROR,DEFAULT,payments,Payment expired 478 days,payment date: 2024-09-20 00:00:00 -- repayment date:2023-05-31 00:00:00
37216892,ERROR,DEFAULT,payments,Payment expired 478 days,payment date: 2024-09-20 00:00:00 -- repayment date:2023-05-31 00:00:00
37216892,ERROR,DEFAULT,payments,Payment expired 508 days,payment date: 2024-10-20 00:00:00 -- repayment date:2023-05-31 00:00:00
